epoch,train_loss,train_accuracy,train_mean_iou,train_mean_dice,train_iou_Class_0,train_dice_Class_0,train_iou_Class_1,train_dice_Class_1,val_loss,val_accuracy,val_mean_iou,val_mean_dice,val_iou_Class_0,val_dice_Class_0,val_iou_Class_1,val_dice_Class_1,dataset,task
1,0.02052534101930864,0.510759661777863,0.30240148859386856,0.43832210358894175,0.4706220152559333,0.6400312389911157,0.13418096193180382,0.23661296818676786,0.01992652474380121,0.5145531631097561,0.3039931759744865,0.4391590499028807,0.47578608937938577,0.6447900448492081,0.13220026256958728,0.2335280549565532,cvc_clinicdb,segmentation
2,0.018880363500435173,0.6111334116180982,0.36774886434613263,0.5011311980771145,0.581513878292235,0.7353889033464198,0.1539838504000302,0.2668734928078092,0.018545262212675762,0.6957015370934959,0.41671460184300935,0.5387346401576769,0.6775897675317077,0.8078134245282952,0.15583943615431098,0.26965585578705853,cvc_clinicdb,segmentation
3,0.017789957104041288,0.7557879800933026,0.46305892872944976,0.5816307989242171,0.741493445682948,0.8515604207653646,0.1846244117759515,0.3117011770830696,0.01753394778181867,0.7909203506097561,0.49917373994622277,0.618212780538181,0.7777712142243685,0.8749958464860235,0.22057626566807706,0.36142971459033835,cvc_clinicdb,segmentation
4,0.016798279524337052,0.8447675022367076,0.5351136687303204,0.6447254212864044,0.8370782424977803,0.9113147422176731,0.23314909496286051,0.37813610035513573,0.016184666777044776,0.871754716082317,0.5772899309654824,0.688464459413519,0.8646688827027967,0.9274235128002759,0.28991097922816805,0.44950540602676214,cvc_clinicdb,segmentation
5,0.015853374708893354,0.8839458317356851,0.5787928672228011,0.6858564993086149,0.8784861078438602,0.9353128608996665,0.279099626601742,0.43640013771756325,0.014638179686011337,0.878834794207317,0.594383797233332,0.7064902626931271,0.8716093005645389,0.9314009075522683,0.3171582939021252,0.4815796178339859,cvc_clinicdb,segmentation
6,0.014837528238023473,0.9188389690375767,0.6329708553372597,0.7375505006441444,0.9151158716573601,0.955676766299691,0.3508258390171594,0.5194242349885978,0.013675408392417722,0.9046442295477642,0.639173755779354,0.7484921800195101,0.8987356980850192,0.9466675103769779,0.3796118134736888,0.5503168496620423,cvc_clinicdb,segmentation
7,0.013987142981195742,0.9305507293264315,0.6636261237225651,0.7668587202876317,0.9271780669884029,0.9622131788136237,0.4000741804567273,0.5715042617616397,0.012728281864305822,0.946165999745935,0.7252827733947086,0.8220102887824021,0.9430034065139984,0.9706657264238868,0.5075621402754188,0.6733548511409175,cvc_clinicdb,segmentation
8,0.01312902435690835,0.9344080513484151,0.6820005855074553,0.7843087434684657,0.9309484840170351,0.9642395866308592,0.43305268699787547,0.6043779003060723,0.011960954443226016,0.9378215510670732,0.7131235115916419,0.8128374349573402,0.933830145875118,0.9657830061931638,0.49241687730816575,0.6598918637215166,cvc_clinicdb,segmentation
9,0.012393046619945752,0.9357475795628835,0.6780943129840811,0.7801206052964704,0.9325628970694707,0.9651048340870092,0.4236257288986915,0.5951363765059317,0.011116585838116281,0.9472596703506098,0.7266759182326448,0.8230244617814013,0.944207522566873,0.9713032293180998,0.5091443138984165,0.674745694244703,cvc_clinicdb,segmentation
10,0.011591294243291844,0.9404556492842536,0.6972521614321607,0.7975697373708213,0.9373116613954581,0.967641582996828,0.4571926614688635,0.6274978917448145,0.01035271621331936,0.9384825171493902,0.7212244020240886,0.8199512750068421,0.9343074976311584,0.9660382320549904,0.5081413064170187,0.6738643179586936,cvc_clinicdb,segmentation
11,0.010897020133238872,0.9423273940759203,0.7100914012712758,0.8091209982945204,0.9390691609725653,0.9685772739550589,0.48111364156998615,0.6496647226339821,0.00876332540822223,0.9496653487042683,0.7500081984639353,0.8425845878920415,0.9463126606341652,0.9724158710716386,0.5537037362937053,0.7127533047124444,cvc_clinicdb,segmentation
12,0.01022496246608976,0.9450099453604295,0.7195835641634448,0.8171666708328384,0.9418461479976018,0.9700522865509373,0.4973209803292879,0.6642810551147397,0.008565963283786929,0.9363328887195121,0.7252508555841269,0.8239175198733135,0.9316393054810607,0.9646100106138011,0.5188624056871932,0.6832250291328258,cvc_clinicdb,segmentation
13,0.009592826990505912,0.9463884162512781,0.7277113281108694,0.8241083787743853,0.9431899763884047,0.9707645550348186,0.5122326798333339,0.6774522025139518,0.00786412876795947,0.9524461699695121,0.7614666314913283,0.8515381198249243,0.9491942717907229,0.973935010509444,0.5737389911919336,0.7291412291404048,cvc_clinicdb,segmentation
14,0.009094458294304846,0.9473719684624233,0.7311128005221572,0.8268963547918373,0.9442168309998781,0.971308154465758,0.5180087700444365,0.6824845551179165,0.0073465403260254275,0.9575969416920732,0.7703001226446975,0.8578296364008613,0.954892885647362,0.9769260430155482,0.5857073596420329,0.7387332297861744,cvc_clinicdb,segmentation
15,0.008656100352848965,0.9475861531825154,0.7309784954104943,0.8267377880483701,0.9444642526515754,0.971439049459154,0.5174927381694132,0.6820365266375861,0.007203773269808389,0.9590161331300813,0.7829749814118563,0.8675888039393664,0.9562123050037417,0.9776160824240523,0.609737657819971,0.7575615254546807,cvc_clinicdb,segmentation
16,0.008355057160303393,0.9480295005751533,0.7393428069641004,0.8338789789390237,0.9447391975095136,0.9715844661529653,0.5339464164186871,0.6961734917250821,0.007310523855976942,0.9530336953760162,0.7690060642133465,0.8575075360046446,0.9496540337198078,0.9741769742685396,0.588358094706885,0.7408380977407496,cvc_clinicdb,segmentation
17,0.007951445679479337,0.950678601099182,0.7494608529566187,0.841951834592733,0.9474952232387931,0.973039843109916,0.5514264826744444,0.7108638260755501,0.007364079840784151,0.9432343273628049,0.7476641844172242,0.8417496608594006,0.9388818840422843,0.968477648658879,0.556446484792164,0.7150216730599223,cvc_clinicdb,segmentation
18,0.007698486492433918,0.9523032096753579,0.7559942425117144,0.8470896384304709,0.9491830154013247,0.973929085059151,0.5628054696221042,0.7202501918017908,0.006529685927600395,0.9637877921747967,0.7951192094407792,0.8762231827851675,0.9614211008221676,0.9803311491032388,0.6288173180593908,0.7721152164670962,cvc_clinicdb,segmentation
19,0.0074797732210841895,0.9500525226866053,0.7518494685591246,0.8440481239229174,0.9467056901352124,0.9726233348292694,0.5569932469830369,0.7154729130165652,0.00607764103063723,0.9652446963922764,0.8100999364618737,0.887173141837073,0.962760765031069,0.981027114647698,0.6574391078926783,0.793319169026448,cvc_clinicdb,segmentation
20,0.006737245585777033,0.956122088286043,0.7741468963985524,0.8611108811659273,0.9530960552866699,0.9759848244092398,0.5951977375104349,0.7462369379226147,0.0053871271571492765,0.9653260766006098,0.8110534489710186,0.8878591078367137,0.9628324684523927,0.9810643383248534,0.6592744294896444,0.794653877348574,cvc_clinicdb,segmentation
21,0.006347007516215428,0.9547461137206033,0.771835112330883,0.8594916307451319,0.9515643101730419,0.9751810946867215,0.5921059144887241,0.7438021668035423,0.005121821673904977,0.967676178226626,0.817379920658621,0.892164397143395,0.9654130260255106,0.9824021854355816,0.6693468152917315,0.8019266088512085,cvc_clinicdb,segmentation
22,0.006165759634142761,0.9576024092535788,0.7843736354058981,0.868872348385716,0.9545333349038061,0.976737841056862,0.61421393590799,0.76100685571457,0.005423876449344604,0.9667869505843496,0.8149489396914847,0.8905138543169226,0.9644374451406277,0.981896824993159,0.6654604342423418,0.7991308836406863,cvc_clinicdb,segmentation
23,0.005968400854274539,0.9557975659828732,0.7795031022217875,0.8653589377051955,0.952566808820642,0.9757072634006271,0.6064393956229329,0.7550106120097638,0.004724327020528839,0.9668981040396342,0.8191718940656891,0.8935404628373145,0.9644677297014231,0.9819125202407996,0.673876058429955,0.8051684054338293,cvc_clinicdb,segmentation
24,0.005792845520505145,0.9552843214787833,0.7745822752356268,0.8615809135789234,0.952111416895241,0.9754683146206254,0.5970531335760125,0.7476935125372214,0.004832292233056169,0.9657627508892277,0.8148544779855371,0.8905658805117942,0.9632485479669488,0.9812802856413115,0.6664604080041255,0.799851475382277,cvc_clinicdb,segmentation
25,0.00568914608477571,0.9573063450600716,0.7812497274943117,0.8664974495150215,0.954275695425059,0.97660294057692,0.6082237595635643,0.7563919584531229,0.004613105964854481,0.9676841177591463,0.8223638261116031,0.8957301019701212,0.9653081271585808,0.9823478708697062,0.6794195250646252,0.809112333070536,cvc_clinicdb,segmentation
26,0.005235107398471949,0.9599464588126279,0.7927701985218191,0.8749629513509527,0.9570349884346085,0.9780458643717155,0.6285054086090296,0.7718800383301898,0.004342913688198338,0.9699349752286586,0.8324042186341871,0.90255491069852,0.9676999746237916,0.9835848829634793,0.6971084626445826,0.8215249384335606,cvc_clinicdb,segmentation
27,0.0052386492125095765,0.9600098654780164,0.7949467123704211,0.876598334683528,0.9570493392618009,0.9780533582488011,0.6328440854790414,0.7751433111182547,0.004294829276519093,0.9719992536839431,0.8379540134856307,0.906189300221798,0.9699815297139723,0.9847620549567355,0.705926497257289,0.8276165454868606,cvc_clinicdb,segmentation
28,0.0049771999288921705,0.9616514490669734,0.8008375259021003,0.8807934673163238,0.9588079455991936,0.978970855977304,0.6428671062050072,0.7826160786553434,0.00398368854832843,0.9722612582571138,0.8424491517491193,0.9092451919018463,0.9701897192392096,0.9848693349327283,0.7147085842590288,0.8336210488709642,cvc_clinicdb,segmentation
29,0.004744546849791014,0.963829742618865,0.8124603005481346,0.8890611256415635,0.9610469842826025,0.9801366229215321,0.6638736168136665,0.7979856283615948,0.00424847860888737,0.9691549161585366,0.8328013302021291,0.9029120165660776,0.9667771245321289,0.9831079612155982,0.6988255358721291,0.822716071916557,cvc_clinicdb,segmentation
