epoch,train_loss,train_accuracy,train_mean_iou,train_mean_dice,train_iou_Class_0,train_dice_Class_0,train_iou_Class_1,train_dice_Class_1,val_loss,val_accuracy,val_mean_iou,val_mean_dice,val_iou_Class_0,val_dice_Class_0,val_iou_Class_1,val_dice_Class_1,dataset,task
1,0.04876868541424091,0.9597543569711539,0.4810391621399766,0.49205332431038495,0.959750577538907,0.9794619667816916,0.0023277467410461944,0.004644681839078278,0.1604289412498474,0.975830078125,0.487915039059522,0.4938836031122764,0.975830078119044,0.9877672062245528,0.0,0.0,btcv,segmentation
2,0.048175376195173994,0.9655386117788461,0.48304131344384466,0.4917778001094706,0.9655379645783508,0.9824668685913467,0.0005446623093385259,0.0010887316275945164,0.1606115996837616,0.97186279296875,0.4859313964814091,0.4928653233030214,0.9718627929628182,0.9857306466060428,0.0,0.0,btcv,segmentation
3,0.04781254896750817,0.9685434194711539,0.4854617133629482,0.494386287222892,0.9685410562674319,0.984019157927944,0.002382370458464421,0.0047534165178399635,0.16059209406375885,0.97076416015625,0.4853820800751624,0.4925826132723448,0.9707641601503249,0.9851652265446896,0.0,0.0,btcv,segmentation
4,0.04724272856345543,0.97265625,0.48701348251905296,0.4944389060079181,0.9726552229257172,0.9861380859886266,0.0013717421123887693,0.0027397260272096075,0.16051921248435974,0.9722900390625,0.48614501952828276,0.49297518103455784,0.9722900390565655,0.9859503620691157,0.0,0.0,btcv,segmentation
5,0.04676993076617901,0.9765437199519231,0.4882718599750446,0.4940663391825952,0.9765437199500892,0.9881326783651904,0.0,0.0,0.16034632921218872,0.9737548828125,0.4868774414032783,0.4933514750433133,0.9737548828065566,0.9867029500866266,0.0,0.0,btcv,segmentation
6,0.046544478489802435,0.9794358473557693,0.48971792367696493,0.494805552129017,0.9794358473539299,0.989611104258034,0.0,0.0,0.16019202768802643,0.97576904296875,0.48788452148139716,0.49386796824165496,0.9757690429627943,0.9877359364833099,0.0,0.0,btcv,segmentation
7,0.04625054506155161,0.9811823918269231,0.4905911959125402,0.49525091474349703,0.9811823918250804,0.9905018294869941,0.0,0.0,0.15997302532196045,0.97967529296875,0.4898376464813852,0.49486665638817673,0.9796752929627704,0.9897333127763535,0.0,0.0,btcv,segmentation
8,0.045996207457322344,0.9827974759615384,0.4913987379798464,0.495662057207335,0.9827974759596928,0.99132411441467,0.0,0.0,0.1597737967967987,0.98321533203125,0.49160766601262446,0.4957683193287915,0.9832153320252489,0.991536638657583,0.0,0.0,btcv,segmentation
9,0.04572683114271898,0.9847130408653846,0.4929698738165981,0.49737424114171164,0.9847127537683161,0.9922975018915667,0.0012269938648801235,0.0024509803918564975,0.15953053534030914,0.9873046875,0.49365234374698697,0.496805896804371,0.9873046874939739,0.993611793608742,0.0,0.0,btcv,segmentation
10,0.04550400147071251,0.9849196213942307,0.49245981069619055,0.4962012621455572,0.9849196213923811,0.9924025242911144,0.0,0.0,0.1592363566160202,0.9896240234375,0.49481201171572986,0.4973924780646132,0.9896240234314597,0.9947849561292263,0.0,0.0,btcv,segmentation
11,0.04540427373005794,0.9849384014423077,0.492469200720229,0.4962060287239614,0.984938401440458,0.9924120574479228,0.0,0.0,0.1589069664478302,0.99169921875,0.49584960937197353,0.4979161559190429,0.9916992187439471,0.9958323118380858,0.0,0.0,btcv,segmentation
12,0.04518612531515268,0.9846754807692307,0.49233774038369077,0.4961392884173958,0.9846754807673815,0.9922785768347916,0.0,0.0,0.15855875611305237,0.99267578125,0.4963378906219706,0.49816221514182135,0.9926757812439412,0.9963244302836427,0.0,0.0,btcv,segmentation
13,0.045116887642787054,0.9845440204326923,0.49227201021542166,0.4961059116325872,0.9845440204308433,0.9922118232651744,0.0,0.0,0.15816012024879456,0.993408203125,0.4967041015594683,0.49834660134568787,0.9934082031189366,0.9966932026913757,0.0,0.0,btcv,segmentation
14,0.04477272583888127,0.9851449819711539,0.4925724909846519,0.49625845513410316,0.9851449819693038,0.9925169102682063,0.0,0.0,0.15773214399814606,0.993896484375,0.49694824218446687,0.4984694502249955,0.9938964843689337,0.996938900449991,0.0,0.0,btcv,segmentation
15,0.04457785533024715,0.9859337439903846,0.49296687199426653,0.4964585283738579,0.9859337439885331,0.9929170567477158,0.0,0.0,0.15726543962955475,0.994384765625,0.49719238280946537,0.4985922389506102,0.9943847656189307,0.9971844779012204,0.0,0.0,btcv,segmentation
16,0.044453868499168984,0.9853891225961539,0.4926945612971516,0.49632039955305973,0.9853891225943032,0.9926407991061195,0.0,0.0,0.15683351457118988,0.99444580078125,0.49722290038759015,0.49860758331395594,0.9944458007751803,0.9972151666279119,0.0,0.0,btcv,segmentation
17,0.04421063111378597,0.9850323016826923,0.4925161508404212,0.49622986026310917,0.9850323016808424,0.9924597205262183,0.0,0.0,0.15639418363571167,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
18,0.04414534568786621,0.9842059795673077,0.49210298978272965,0.4960200653064256,0.9842059795654593,0.9920401306128512,0.0,0.0,0.15595217049121857,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
19,0.04397986026910635,0.9856520432692307,0.4928260216336898,0.4963870918922404,0.9856520432673797,0.9927741837844808,0.0,0.0,0.15552926063537598,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
20,0.04377091389435988,0.9863844651442307,0.49319223257118916,0.49657278460022447,0.9863844651423783,0.9931455692004489,0.0,0.0,0.1551436483860016,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
21,0.04353441641880916,0.9863656850961539,0.4931828425471507,0.496568024959349,0.9863656850943014,0.993136049918698,0.0,0.0,0.15474936366081238,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
22,0.043372319294856146,0.9862717848557693,0.4931358924269585,0.4965442254049104,0.986271784853917,0.9930884508098208,0.0,0.0,0.15439486503601074,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
23,0.04315727949142456,0.9866849459134616,0.49334247295580425,0.49664892661622256,0.9866849459116085,0.9932978532324451,0.0,0.0,0.15402939915657043,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
24,0.04298006571256197,0.9867600661057693,0.49338003305195804,0.496667958521522,0.9867600661039161,0.993335917043044,0.0,0.0,0.15362589061260223,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
25,0.04289443676288311,0.986572265625,0.4932861328115736,0.4966203760595035,0.9865722656231471,0.993240752119007,0.0,0.0,0.1532827764749527,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
26,0.04268343632037823,0.9864595853365384,0.49322979266734296,0.49659182226377063,0.9864595853346859,0.9931836445275413,0.0,0.0,0.1529523730278015,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
27,0.04255233361170842,0.9867976262019231,0.4933988131000349,0.496677473934479,0.9867976262000698,0.993354947868958,0.0,0.0,0.15260864794254303,0.9945068359375,0.497253417965715,0.49862292673817665,0.99450683593143,0.9972458534763533,0.0,0.0,btcv,segmentation
